fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,11942,3,3,0.9332021474838257
fold_01,1,11952,1,1,0.9317264556884766
fold_01,1,11952,2,2,0.9376397728919983
fold_01,1,11952,3,3,0.9407802224159241
fold_01,1,12308,1,1,0.913555920124054
fold_01,1,12308,2,2,0.9486904144287109
fold_01,1,12308,3,3,0.942166268825531
fold_01,1,12634,1,1,0.8763695359230042
fold_01,1,12634,2,2,0.8749020099639893
fold_01,1,12634,3,3,0.9107920527458191
fold_01,1,12685,1,1,0.9063639640808105
fold_01,1,12685,2,2,0.9279764890670776
fold_01,1,12685,3,3,0.9207838773727417
fold_01,1,12796,1,1,0.9388510584831238
fold_01,1,12796,2,2,0.9308894276618958
fold_01,1,12796,3,3,0.9086792469024658
fold_01,1,12798,1,1,0.9371801614761353
fold_01,1,12798,2,2,0.9208341836929321
fold_01,1,12798,3,3,0.9249656200408936
fold_01,1,12922,1,1,0.9251748323440552
fold_01,1,12922,2,2,0.9364685416221619
fold_01,1,12922,3,3,0.9210254549980164
fold_01,1,12937,1,1,0.8948569297790527
fold_01,1,12937,2,2,0.9052795171737671
fold_01,1,12937,3,3,0.9336270689964294
fold_01,1,13138,1,1,0.949061393737793
fold_01,1,13138,2,2,0.9330341219902039
fold_01,1,13138,3,3,0.9447776675224304
fold_01,1,13230,1,1,0.9345249533653259
fold_01,1,13230,2,2,0.9437687993049622
fold_01,1,13230,3,3,0.9147905707359314
fold_01,1,13312,1,1,0.9258884787559509
fold_01,1,13312,2,2,0.9352121353149414
fold_01,1,13312,3,3,0.9353641867637634
fold_01,1,13314,1,1,0.9330950379371643
fold_01,1,13314,2,2,0.94677734375
fold_01,1,13314,3,3,0.9426432251930237
